date,weather,avg_temp,avg_wind,avg_humidity,pressure,precipitation,rain
2022-09-11,"Днем 11 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +10…+15°C.

            Ветер юго-восточный слабый, 0—2 м/с.
            Влажность воздуха 42—67%.",12.5,1.0,54.5,в пределах нормы,Без осадков,Не было дождя
2022-09-12,"Днем 12 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +9…+14°C.

            Ветер северо-восточный слабый, 0—2 м/с.
            Влажность воздуха 63—90%.",11.5,1.0,76.5,в пределах нормы,Были осадки,Был дождь
2022-09-13,"Днем 13 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+15°C.

            Ветер восточный слабый, 1 м/с.
            Влажность воздуха 51—74%.",12.5,,62.5,ниже нормы,Были осадки,Был дождь
2022-09-14,"Днем 14 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, слабый дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +11…+13°C.

            Ветер юго-восточный слабый, 1 м/с.
            Влажность воздуха 89—93%.",12.0,,91.0,ниже нормы,Были осадки,Был дождь
2022-09-15,"Днем 15 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабая морось, пасмурно или облачность более 5 баллов, морось, дождь, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+13°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 87—98%.",11.5,0.5,92.5,ниже нормы,Были осадки,Был дождь
2022-09-16,"Днем 16 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, пасмурно или облачность более 5 баллов, дождь.
            Давление было ниже нормы.
            Температура воздуха +11…+16°C.

            Ветер юго-восточный слабый, 1—2 м/с.
            Влажность воздуха 72—96%.",13.5,1.5,84.0,ниже нормы,Были осадки,Был дождь
2022-09-17,"Днем 17 сентября 2022 года в Москве характер погоды был таким:             малооблачно, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +11…+16°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 48—86%.",13.5,0.5,67.0,ниже нормы,Были осадки,Был дождь
2022-09-18,"Днем 18 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +12…+15°C.

            Ветер восточный слабый, 1 м/с.
            Влажность воздуха 66—97%.",13.5,,81.5,ниже нормы,Были осадки,Был дождь
2022-09-19,"Днем 19 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+13°C.

            Ветер юго-восточный умеренный, 2 м/с, порывами до 13 м/с.
            Влажность воздуха 71—91%.",11.5,,81.0,ниже нормы,Были осадки,Был дождь
2022-09-20,"Днем 20 сентября 2022 года в Москве характер погоды был таким:             значительная облачность, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+15°C.

            Ветер южный слабый, 0—1 м/с.
            Влажность воздуха 63—94%.",12.5,0.5,78.5,ниже нормы,Были осадки,Не было дождя
2022-09-21,"Днем 21 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +9…+14°C.

            Ветер в переменных направлениях слабый, 1 м/с.
            Влажность воздуха 66—98%.",11.5,,82.0,ниже нормы,Были осадки,Был дождь
2022-09-22,"Днем 22 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха +10…+12°C.

            Ветер восточный слабый, 1 м/с.
            Влажность воздуха 77—93%.",11.0,,85.0,ниже нормы,Без осадков,Не было дождя
2022-09-23,"Днем 23 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха +10…+14°C.

            Ветер северный слабый, 1—2 м/с.
            Влажность воздуха 58—85%.",12.0,1.5,71.5,ниже нормы,Без осадков,Не было дождя
2022-09-24,"Днем 24 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, пасмурно или облачность более 5 баллов, ливневые осадки.
            Давление было ниже нормы.
            Температура воздуха +8…+9°C.

            Ветер северный слабый, 0—3 м/с.
            Влажность воздуха 92—97%.",8.5,1.5,94.5,ниже нормы,Были осадки,Был дождь
2022-09-25,"Днем 25 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +7…+8°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 90—95%.",7.5,0.5,92.5,ниже нормы,Были осадки,Был дождь
2022-09-26,"Днем 26 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха +7…+10°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 75—97%.",8.5,0.5,86.0,ниже нормы,Без осадков,Не было дождя
2022-09-27,"Днем 27 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, туман, ледяной туман или мгла, видимость менее 1 км, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +7…+12°C.

            Ветер восточный слабый, 0—1 м/с.
            Влажность воздуха 63—99%.",9.5,0.5,81.0,ниже нормы,Без осадков,Не было дождя
2022-09-28,"Днем 28 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +8…+10°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 84—94%.",9.0,1.0,89.0,ниже нормы,Были осадки,Был дождь
2022-09-29,"Днем 29 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха +10…+12°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 80—96%.",11.0,0.5,88.0,ниже нормы,Без осадков,Не было дождя
2022-09-30,"Днем 30 сентября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, дымка, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+17°C.

            Ветер юго-восточный слабый, 0—2 м/с.
            Влажность воздуха 72—88%.",13.5,1.0,80.0,ниже нормы,Без осадков,Не было дождя
2022-10-01,"Днем 1 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, слабый дождь, слабый ливневый дождь, пасмурно или облачность более 5 баллов, дождь, ливневые осадки.
            Давление было ниже нормы.
            Температура воздуха +13…+15°C.

            Ветер северный слабый, 0 м/с.
            Влажность воздуха 95—98%.",14.0,,96.5,ниже нормы,Были осадки,Был дождь
2022-10-02,"Днем 2 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха +10…+12°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 70—81%.",11.0,0.5,75.5,ниже нормы,Без осадков,Не было дождя
2022-10-03,"Днем 3 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов, дождь.
            Давление было ниже нормы.
            Температура воздуха +9…+16°C.

            Ветер юго-восточный умеренный, 2—3 м/с, порывами до 11 м/с.
            Влажность воздуха 66—90%.",12.5,2.5,78.0,ниже нормы,Были осадки,Был дождь
2022-10-04,"Днем 4 октября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +9…+13°C.

            Ветер юго-восточный умеренный, 1—3 м/с, порывами до 10 м/с.
            Влажность воздуха 62—87%.",11.0,2.0,74.5,ниже нормы,Были осадки,Был дождь
2022-10-05,"Днем 5 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +7…+9°C.

            Ветер западный слабый, 0—2 м/с.
            Влажность воздуха 76—91%.",8.0,1.0,83.5,ниже нормы,Были осадки,Был дождь
2022-10-06,"Днем 6 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, морось, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +9…+12°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 82—89%.",10.5,0.5,85.5,ниже нормы,Без осадков,Не было дождя
2022-10-07,"Днем 7 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +10…+13°C.

            Ветер западный слабый, 1—2 м/с.
            Влажность воздуха 64—81%.",11.5,1.5,72.5,в пределах нормы,Без осадков,Не было дождя
2022-10-08,"Днем 8 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +10…+15°C.

            Ветер южный слабый, 1—2 м/с.
            Влажность воздуха 56—82%.",12.5,1.5,69.0,в пределах нормы,Без осадков,Не было дождя
2022-10-09,"Днем 9 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, слабый дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10…+16°C.

            Ветер южный слабый, 0—2 м/с.
            Влажность воздуха 50—96%.",13.0,1.0,73.0,ниже нормы,Были осадки,Был дождь
2022-10-10,"Днем 10 октября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +5…+11°C.

            Ветер северный слабый, 0—3 м/с.
            Влажность воздуха 61—91%.",8.0,1.5,76.0,в пределах нормы,Без осадков,Не было дождя
2022-10-11,"Днем 11 октября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +4…+11°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 48—98%.",7.5,0.5,73.0,в пределах нормы,Без осадков,Не было дождя
2022-10-12,"Днем 12 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +4…+10°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 63—98%.",7.0,1.0,80.5,в пределах нормы,Без осадков,Не было дождя
2022-10-13,"Днем 13 октября 2022 года в Москве характер погоды был таким:             значительная облачность, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +3…+8°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 70—93%.",5.5,1.0,81.5,в пределах нормы,Без осадков,Не было дождя
2022-10-14,"Днем 14 октября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +5…+8°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 60—95%.",6.5,0.5,77.5,в пределах нормы,Без осадков,Не было дождя
2022-10-15,"Днем 15 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +6…+10°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 59—79%.",8.0,0.5,69.0,в пределах нормы,Без осадков,Не было дождя
2022-10-16,"Днем 16 октября 2022 года в Москве характер погоды был таким:             ясно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +6…+11°C.

            Ветер южный слабый, 1 м/с.
            Влажность воздуха 49—69%.",8.5,,59.0,в пределах нормы,Без осадков,Не было дождя
2022-10-17,"Днем 17 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +7…+9°C.

            Ветер южный слабый, 1 м/с.
            Влажность воздуха 64—87%.",8.0,,75.5,в пределах нормы,Были осадки,Был дождь
2022-10-18,"Днем 18 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дождь, слабый дождь, дождь, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +8…+12°C.

            Ветер южный слабый, 1—2 м/с.
            Влажность воздуха 80—96%.",10.0,1.5,88.0,в пределах нормы,Были осадки,Был дождь
2022-10-19,"Днем 19 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +7°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 84—94%.",7.0,1.0,89.0,ниже нормы,Были осадки,Был дождь
2022-10-20,"Днем 20 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +3…+6°C.

            Ветер северо-западный слабый, 2 м/с.
            Влажность воздуха 65—75%.",4.5,,70.0,в пределах нормы,Без осадков,Не было дождя
2022-10-21,"Днем 21 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +3…+6°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 79—88%.",4.5,0.5,83.5,в пределах нормы,Без осадков,Не было дождя
2022-10-22,"Днем 22 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, ливневые осадки, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +5…+7°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 78—94%.",6.0,0.5,86.0,в пределах нормы,Были осадки,Был дождь
2022-10-23,"Днем 23 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, слабая морось с дождём, слабый дождь, пасмурно или облачность более 5 баллов, дождь, морось.
            Давление было ниже нормы.
            Температура воздуха +5…+6°C.

            Ветер юго-восточный слабый, 0—1 м/с.
            Влажность воздуха 83—97%.",5.5,0.5,90.0,ниже нормы,Были осадки,Был дождь
2022-10-24,"Днем 24 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, пасмурно или облачность более 5 баллов, дождь, ливневые осадки, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +3…+7°C.

            Ветер северо-западный слабый, 0—2 м/с.
            Влажность воздуха 53—90%.",5.0,1.0,71.5,ниже нормы,Были осадки,Был дождь
2022-10-25,"Днем 25 октября 2022 года в Москве характер погоды был таким:             малооблачно, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -1…+4°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 53—95%.",1.5,0.5,74.0,в пределах нормы,Без осадков,Не было дождя
2022-10-26,"Днем 26 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +1…+5°C.

            Ветер юго-восточный слабый, 1—2 м/с.
            Влажность воздуха 63—81%.",3.0,1.5,72.0,в пределах нормы,Без осадков,Не было дождя
2022-10-27,"Днем 27 октября 2022 года в Москве характер погоды был таким:             значительная облачность, дымка, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +2…+6°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 70—96%.",4.0,0.5,83.0,в пределах нормы,Без осадков,Не было дождя
2022-10-28,"Днем 28 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый ливневый дождь, дымка, пасмурно или облачность более 5 баллов, ливневые осадки, морось, дождь.
            Давление было в пределах нормы.
            Температура воздуха +5…+9°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 82—96%.",7.0,0.5,89.0,в пределах нормы,Были осадки,Был дождь
2022-10-29,"Днем 29 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +10°C.

            Ветер юго-западный слабый, 1 м/с.
            Влажность воздуха 87—92%.",10.0,,89.5,ниже нормы,Были осадки,Был дождь
2022-10-30,"Днем 30 октября 2022 года в Москве характер погоды был таким:             облачно, гроза закончилась, слабый снег, осадки или град, пасмурно или облачность более 5 баллов, ливневые осадки, гроза с осадками или без них.
            Давление было ниже нормы.
            Температура воздуха +1…+9°C.

            Ветер западный умеренный, 2—3 м/с, порывами до 14 м/с.
            Влажность воздуха 63—92%.",5.0,2.5,77.5,ниже нормы,Были осадки,Не было дождя
2022-10-31,"Днем 31 октября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег, слабый ливневый снег, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков, ливневые осадки.
            Давление было ниже нормы.
            Температура воздуха 0…+3°C.

            Ветер северо-западный умеренный, 2—3 м/с, порывами до 11 м/с.
            Влажность воздуха 78—90%.",1.5,2.5,84.0,ниже нормы,Были осадки,Был дождь
2022-11-01,"Днем 1 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха 0…+1°C.

            Ветер северо-западный умеренный, 0—2 м/с, порывами до 10 м/с.
            Влажность воздуха 74—78%.",0.5,1.0,76.0,ниже нормы,Без осадков,Не было дождя
2022-11-02,"Днем 2 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха -1…+2°C.

            Ветер северо-западный слабый, 0—2 м/с.
            Влажность воздуха 73—85%.",0.5,1.0,79.0,ниже нормы,Были осадки,Был дождь
2022-11-03,"Днем 3 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха -1…-2°C.

            Ветер северо-западный слабый, 1—2 м/с.
            Влажность воздуха 83—84%.",-1.5,1.5,83.5,ниже нормы,Без осадков,Не было дождя
2022-11-04,"Днем 4 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -2…0°C.

            Ветер северный слабый, 0—2 м/с.
            Влажность воздуха 83—86%.",-1.0,1.0,84.5,в пределах нормы,Были осадки,Был дождь
2022-11-05,"Днем 5 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -1…0°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 79—85%.",-0.5,0.5,82.0,в пределах нормы,Были осадки,Был дождь
2022-11-06,"Днем 6 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха -2…0°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 77—81%.",-1.0,0.5,79.0,в пределах нормы,Без осадков,Не было дождя
2022-11-07,"Днем 7 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, дымка, пасмурно или облачность более 5 баллов, снег, дождь со снегом или другие виды осадков.
            Давление было в пределах нормы.
            Температура воздуха +2…+3°C.

            Ветер южный слабый, 1 м/с.
            Влажность воздуха 87—91%.",2.5,,89.0,в пределах нормы,Были осадки,Был дождь
2022-11-08,"Днем 8 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов, морось.
            Давление было ниже нормы.
            Температура воздуха +4…+6°C.

            Ветер южный слабый, 1 м/с.
            Влажность воздуха 91—93%.",5.0,,92.0,ниже нормы,Были осадки,Был дождь
2022-11-09,"Днем 9 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, пасмурно или облачность более 5 баллов, морось, дождь.
            Давление было ниже нормы.
            Температура воздуха +8…+10°C.

            Ветер юго-западный слабый, 1—2 м/с.
            Влажность воздуха 86—94%.",9.0,1.5,90.0,ниже нормы,Были осадки,Был дождь
2022-11-10,"Днем 10 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, осадков и погодных явлений не неблюдалось.
            Давление было в пределах нормы.
            Температура воздуха +8…+9°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 79—85%.",8.5,0.5,82.0,в пределах нормы,Без осадков,Не было дождя
2022-11-11,"Днем 11 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабая морось, морось, пасмурно или облачность более 5 баллов, дождь.
            Давление было в пределах нормы.
            Температура воздуха +8…+9°C.

            Ветер юго-западный слабый, 1 м/с.
            Влажность воздуха 82—94%.",8.5,,88.0,в пределах нормы,Были осадки,Был дождь
2022-11-12,"Днем 12 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, слабый дождь с перерывами, дождь, пасмурно или облачность более 5 баллов, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было ниже нормы.
            Температура воздуха +9…+12°C.

            Ветер западный умеренный, 1—3 м/с, порывами до 10 м/с.
            Влажность воздуха 77—92%.",10.5,2.0,84.5,ниже нормы,Были осадки,Был дождь
2022-11-13,"Днем 13 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность с просветами, слабый ливневый дождь, ливневые осадки, облачность увеличилась от менее 5 баллов до более 5 баллов, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха +5…+8°C.

            Ветер северо-западный умеренный, 3—5 м/с, порывами до 14 м/с.
            Влажность воздуха 61—69%.",6.5,4.0,65.0,в пределах нормы,Были осадки,Был дождь
2022-11-14,"Днем 14 ноября 2022 года в Москве характер погоды был таким:             ясно, ливневые осадки, облачность увеличилась от менее 5 баллов до более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -1…+1°C.

            Ветер северо-западный умеренный, 2—3 м/с, порывами до 10 м/с.
            Влажность воздуха 55—65%.",0.0,2.5,60.0,в пределах нормы,Были осадки,Не было дождя
2022-11-15,"Днем 15 ноября 2022 года в Москве характер погоды был таким:             сплошная облачность без просветов, умеренный снег, слабый снег с перерывами, снег, дождь со снегом или другие виды осадков, пасмурно или облачность более 5 баллов.
            Давление было в пределах нормы.
            Температура воздуха -1…-2°C.

            Ветер западный слабый, 1 м/с.
            Влажность воздуха 58—93%.",-1.5,,75.5,в пределах нормы,Были осадки,Был дождь
2022-11-16,"Днем 16 ноября 2022 года в Москве характер погоды был таким:             облачно, осадков и погодных явлений не неблюдалось.
            Давление было ниже нормы.
            Температура воздуха -2…-6°C.

            Ветер северный слабый, 0—1 м/с.
            Влажность воздуха 64—87%.",-4.0,0.5,75.5,ниже нормы,Без осадков,Не было дождя
